"FTP Species" "Portal Species" "Species Label" "Class" "Class Label"
"1" "Acanthochromis_polyacanthus" "Acanthochromis_polyacanthus" "Spiny chromis" "Actinopterygii" "Fish"
"2" "Accipiter_nisus" "Accipiter_nisus" "Eurasian sparrowhawk" "Aves" "Birds"
"3" "Ailuropoda_melanoleuca" "Ailuropoda_melanoleuca" "Giant panda" "Laurasiatheria" "Laurasiatheria"
"4" "Amazona_collaria" "Amazona_collaria" "Yellow-billed parrot" "Aves" "Birds"
"5" "Amphilophus_citrinellus" "Amphilophus_citrinellus" "Midas cichlid" "Actinopterygii" "Fish"
"6" "Amphiprion_ocellaris" "Amphiprion_ocellaris" "Clown anemonefish" "Actinopterygii" "Fish"
"7" "Amphiprion_percula" "Amphiprion_percula" "Orange clownfish" "Actinopterygii" "Fish"
"8" "Anabas_testudineus" "Anabas_testudineus" "Climbing perch" "Actinopterygii" "Fish"
"9" "Anas_platyrhynchos" "Anas_platyrhynchos" "Mallard" "Aves" "Birds"
"10" "Anas_platyrhynchos_platyrhynchos" "Anas_platyrhynchos_platyrhynchos" "Duck" "Aves" "Birds"
"11" "Anas_zonorhyncha" "Anas_zonorhyncha" "Eastern spot-billed duck" "Aves" "Birds"
"12" "Anolis_carolinensis" "Anolis_carolinensis" "Green anole" "Sauropsida" "Reptiles"
"13" "Anser_brachyrhynchus" "Anser_brachyrhynchus" "Pink-footed goose" "Aves" "Birds"
"14" "Anser_cygnoides" "Anser_cygnoides" "Swan goose" "Aves" "Birds"
"15" "Aotus_nancymaae" "Aotus_nancymaae" "Ma's night monkey" "Primates" "Primates"
"16" "Apteryx_haastii" "Apteryx_haastii" "Great spotted kiwi" "Aves" "Birds"
"17" "Apteryx_owenii" "Apteryx_owenii" "Little spotted kiwi" "Aves" "Birds"
"18" "Apteryx_rowi" "Apteryx_rowi" "Okarito brown kiwi" "Aves" "Birds"
"19" "Aquila_chrysaetos_chrysaetos" "Aquila_chrysaetos_chrysaetos" "Golden eagle" "Aves" "Birds"
"20" "Astatotilapia_calliptera" "Astatotilapia_calliptera" "Eastern happy" "Actinopterygii" "Fish"
"21" "Astyanax_mexicanus" "Astyanax_mexicanus" "Mexican tetra" "Actinopterygii" "Fish"
"22" "Astyanax_mexicanus_pachon" "Astyanax_mexicanus_pachon" "Pachon cavefish" "Actinopterygii" "Fish"
"23" "Athene_cunicularia" "Athene_cunicularia" "Burrowing owl" "Aves" "Birds"
"24" "Balaenoptera_musculus" "Balaenoptera_musculus" "Blue whale" "Laurasiatheria" "Laurasiatheria"
"25" "Betta_splendens" "Betta_splendens" "Siamese fighting fish" "Actinopterygii" "Fish"
"26" "Bison_bison_bison" "Bison_bison_bison" "American bison" "Laurasiatheria" "Laurasiatheria"
"27" "Bos_grunniens" "Bos_grunniens" "Domestic yak" "Laurasiatheria" "Laurasiatheria"
"28" "Bos_indicus_hybrid" "Bos_indicus_hybrid" "Hybrid - Bos Indicus" "Laurasiatheria" "Laurasiatheria"
"29" "Bos_mutus" "Bos_mutus" "Wild yak" "Laurasiatheria" "Laurasiatheria"
"30" "Bos_taurus" "Bos_taurus" "Cow" "Laurasiatheria" "Laurasiatheria"
"31" "Bos_taurus_hybrid" "Bos_taurus_hybrid" "Hybrid - Bos Taurus" "Laurasiatheria" "Laurasiatheria"
"32" "Bubo_bubo" "Bubo_bubo" "Eurasian eagle-owl" "Aves" "Birds"
"33" "Buteo_japonicus" "Buteo_japonicus" "Eastern buzzard" "Aves" "Birds"
"34" "Caenorhabditis_elegans" "Caenorhabditis_elegans" "Caenorhabditis elegans" "Eukaryota" "Other eukaryotes"
"35" "Cairina_moschata_domestica" "Cairina_moschata_domestica" "Muscovy Duck (domestic type)
" "Aves" "Birds"
"36" "Calidris_pugnax" "Calidris_pugnax" "Ruff" "Aves" "Birds"
"37" "Calidris_pygmaea" "Calidris_pygmaea" "Spoon-billed sandpiper" "Aves" "Birds"
"38" "Callithrix_jacchus" "Callithrix_jacchus" "Marmoset" "Primates" "Primates"
"39" "Callorhinchus_milii" "Callorhinchus_milii" "Elephant shark" "Vertebrata" "Other vertebrates"
"40" "Camarhynchus_parvulus" "Camarhynchus_parvulus" "Small tree finch" "Aves" "Birds"
"41" "Camelus_dromedarius" "Camelus_dromedarius" "Arabian camel" "Laurasiatheria" "Laurasiatheria"
